Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
b573d409-cfaf-c585-a25b-e9d4cf510bd3,1988-02-12,2004-12-30,999-97-2089,S99986968,,,Avril120,Olson653,,,,white,nonhispanic,F,Quincy  Massachusetts  US,590 Kuhic Frontage road,Newton,Massachusetts,Middlesex County,25017,02461,42.38195195384975,-71.2224759402701,31149.55,129134.77,482269
2703570e-f634-d4cc-13db-2ae14e19ae59,1999-03-13,,999-76-8207,S99998444,X64097979X,Ms.,Norma469,Langosh790,,,,white,nonhispanic,F,Somerville  Massachusetts  US,525 Gleason Burg Suite 75,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.965669492686814,-71.01705734389324,50725.19,100007.82,190464
35589a76-2a97-0a89-8c2d-56defc8627af,2003-02-05,,999-64-2625,S99996738,X7357887X,Ms.,Peggie783,Eichmann909,,,,white,nonhispanic,F,Pittsfield  Massachusetts  US,230 Ratke Neck Suite 55,Walpole,Massachusetts,Norfolk County,25021,02081,42.107640034932054,-71.23206925758093,65579.97,32577.83,78997
d46186a3-507c-0b22-1bfc-1f88bd7cbd7d,1986-11-07,,999-67-4853,S99939817,X78293510X,Mrs.,Ashlie138,Williamson769,,Cummerata161,M,white,nonhispanic,F,Salem  Massachusetts  US,355 Eichmann Underpass,Lexington,Massachusetts,Middlesex County,25017,02421,42.42235984641111,-71.19956093242973,162537.60,809077.40,6472
983105f7-6f2b-0eef-2ca0-222a816b3aa8,1999-05-21,,999-93-7607,S99973121,X51982993X,Ms.,Christiane220,Ankunding277,,,,white,nonhispanic,F,Duxbury  Massachusetts  US,344 McCullough Boulevard Unit 68,Hopkinton,Massachusetts,Middlesex County,25017,01748,42.261559654267735,-71.526712184024,141344.77,282705.57,141475
54ac079a-90af-6fbd-bd78-34bcbc8308f3,1988-02-12,,999-81-2596,S99995079,X50782432X,Mrs.,Dione665,O'Kon634,,Hartmann983,M,white,nonhispanic,F,Norfolk  Massachusetts  US,262 Langworth Harbor Unit 14,Newton,Massachusetts,Middlesex County,25017,02459,42.34322699823539,-71.24110939700458,154278.51,641342.87,482269
b6d3e48c-cb6a-5e32-167e-9dc2ebc0a007,1968-08-01,,999-11-1953,S99935780,X36418601X,Mr.,Elliott563,Wilderman619,,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,986 Christiansen Camp,Fall River,Massachusetts,Bristol County,25005,02790,41.65366450340257,-71.02917400735387,106489.96,67335.56,27664
fa533289-bb69-0bd9-da31-852b85ceab4c,2007-11-10,,999-64-9256,S99934682,,,Evelia928,Kuhn96,,,,white,nonhispanic,F,Somerville  Massachusetts  US,362 Borer Bridge Suite 11,Weymouth,Massachusetts,Norfolk County,25021,02190,42.25262527763737,-70.901720429777,54756.89,299309.43,32577
d0a2790b-e10f-45d3-58e7-365d2ebb3d98,2001-09-06,,999-81-9500,S99949284,X50657992X,Mr.,Basil991,Hilll811,,,,white,nonhispanic,M,Waltham  Massachusetts  US,691 Mueller Divide,Burlington,Massachusetts,Middlesex County,25017,01803,42.51765032476611,-71.15507175026715,39875.28,4676.56,556548
b8252f04-1084-2d8c-8f7e-34f6b9e8e8c4,1977-05-12,,999-50-4280,S99923870,X19856127X,Mr.,Damian46,Satterfield305,,,W,asian,hispanic,M,Waltham  Massachusetts  US,1083 Welch Bypass Unit 46,Worcester,Massachusetts,Worcester County,25027,01604,42.2134990810887,-71.80175597974838,94368.57,3959.12,122495
1fd5d41f-21a3-2805-5613-c4becb7b52d3,1983-05-26,,999-76-4160,S99937699,X32688325X,Mrs.,Stormy472,Carter549,,Cruickshank494,M,native,nonhispanic,F,Cambridge  Massachusetts  US,240 Okuneva Vale Suite 4,Medford,Massachusetts,Middlesex County,25017,02145,42.41405661175696,-71.141183293584,295533.73,196398.18,61653
4734cda8-5be9-a179-e553-c0339352af0f,1983-01-08,,999-62-4805,S99970203,X41531688X,Mrs.,Ronna740,Feeney44,,Kunde533,M,white,nonhispanic,F,Cambridge  Massachusetts  US,961 Jaskolski Key,Fairhaven,Massachusetts,Bristol County,,00000,41.64924023752136,-70.88865042238591,13074.71,825657.82,23164
d69759aa-a409-f8c0-1804-ead7023c66a2,1983-12-05,,999-80-8814,S99930741,X61023447X,Ms.,Keira502,Hessel84,,,S,white,nonhispanic,F,Revere  Massachusetts  US,219 Towne Ferry,Fall River,Massachusetts,Bristol County,25005,02724,41.77161838490194,-71.09495379428304,16597.06,733897.81,14451
b0c9737f-955d-107e-9fc4-323213adc53b,1927-02-27,2004-04-13,999-69-1480,S99999882,X65138502X,Ms.,Chun678,Hirthe744,,,S,white,nonhispanic,F,Worcester  Massachusetts  US,1039 Gerhold Vale Unit 31,Bridgewater,Massachusetts,Plymouth County,25023,02324,42.00122673232529,-70.9970026139482,839019.23,504807.62,71082
8c78bc6d-487d-5f2c-d8af-223dc024ee18,2013-08-12,,999-37-6536,,,,Valentin929,O'Hara248,,,,white,nonhispanic,M,Lexington  Massachusetts  US,888 Stoltenberg Fort,Boston,Massachusetts,Suffolk County,25025,02163,42.336598317744716,-70.94972104402919,17108.15,11177.10,35074
48076f52-356d-283b-4eb7-26a09ee16f6c,1987-09-02,,999-51-5054,S99962020,X13440122X,Mrs.,Clara183,Roque844,,Cintrón695,M,white,hispanic,F,La Paz  Baja California  MX,123 Funk Grove Suite 40,Upton,Massachusetts,Worcester County,25027,01568,42.18256223776612,-71.6369913300236,134015.03,694642.02,316890
d1d847f5-4a9d-efb1-1ba2-a235eb1201f1,1989-11-06,,999-33-8062,S99928230,X12173958X,Mr.,Salvador46,Schuster709,,,M,white,nonhispanic,M,Bourne  Massachusetts  US,1018 Pouros Quay,Marlborough,Massachusetts,Middlesex County,25017,01752,42.31475003906084,-71.50685758217097,4995.08,46575.32,13793
8d198bbf-734c-e4f1-ac42-d844685d904f,1927-02-27,,999-72-7738,S99976320,X9143076X,Mrs.,Meri607,Stracke611,,McLaughlin530,M,white,nonhispanic,F,Lowell  Massachusetts  US,106 Denesik Burg Suite 61,Bridgewater,Massachusetts,Plymouth County,25023,02324,41.932259413890094,-70.98166204921291,523338.93,530637.30,71082
29b7cce3-0a69-5cd3-cc83-7df5b3e8fa91,1988-09-24,,999-35-2509,S99947865,X46776849X,Mr.,Nicolás801,Rosas160,,,S,white,hispanic,M,Puebla  Puebla  MX,672 Douglas Grove Unit 16,Mansfield,Massachusetts,Bristol County,,00000,42.04357893857688,-71.16852814825175,56028.64,213429.89,931642
a535ed59-f7c4-108f-e86e-18667f01c767,1985-10-31,,999-59-2290,S99973161,X84108608X,Mrs.,Ruthanne627,Fahey393,,Schuppe920,M,white,hispanic,F,Rochester  Massachusetts  US,820 Batz Wynd,Lowell,Massachusetts,Middlesex County,25017,01854,42.669582386930244,-71.340310473846,424528.38,420787.98,78499
